0.25,		0.99,		0.63,		0.98,		0
0.28,		0.77,		0.32,		0.92,		0
0.39,		0.58,		0.16,		0.74,		0

0.87,		0.99,		0.15,		0.97,		3
0.63,		0.82,		0.3,		1.03,		2
0.59,		0.71,		0.34,		0.62,		2
0.84,		0.53,		0.13,		0.61,		3
0.12,		0.4,		0.05,		0.44,		0
0.93,		0.22,		0.54,		0.2,		1
0.51,		0.11,		0.38,		0.11,		1

0.95,		0.99,		0.06,		1,			3
0.82,		1.01,		0.04,		0.92,		3

0.49,		0.99,		0.28,		1,			0
0.16,		0.81,		0.19,		1.06,		0
0.69,		0.64,		0.51,		0.76,		2
0.32,		0.46,		0.6,		0.78,		0
0.66,		0.27,		0.6,		0.84,		0
0.56,		0.04,		0.34,		0.8,		1

0.1,		0.99,		0.16,		1,			0
0.25,		1.01,		0.25,		0.93,		0
0.61,		0.88,		0.31,		0.67,		2
0.66,		0.73,		0.08,		0.62,		3

0.33,		0.99,		0.44,		0.98,		0
0.32,		1.01,		0.06,		0.44,		0
0.4,		0.85,		0.04,		0.54,		0
0.87,		0.67,		0.4,		0.36,		2

0.19,		0.99,		0.39,		1,			0
0.99,		0.81,		0.56,		1.06,		1
0.51,		0.63,		0.31,		1.12,		2
0.63,		0.52,		0.43,		0.78,		1
0.74,		0.41,		0.47,		0.69,		2
0.23,		0.3,		0.35,		0.14,		0

0.02,		0.99,		0.55,		0.98,		0
0.99,		0.88,		0.57,		0.64,		2
0.01,		0.67,		0.2,		0.48,		0
0.99,		0.55,		0.04,		0.36,		3

0.74,		0.99,		0.4,		0.98,		2
0.36,		0.74,		0.32,		0.4,		0

0.31,		0.99,		0.32,		1,			0
0.72,		1.02,		0.35,		0.96,		2
0.22,		0.82,		0.05,		0.27,		0
0.9,		0.71,		0.15,		0.18,		3
0.23,		0.55,		0.05,		0.24,		0
