0,			0.07,		0.04,		1,		1,		0,		0
0.07,		-0.13,		0.09,		1,		0,		1,		1
-0.08,		0.81,		0.49,		1,		1,		1,		0
0.61,		-0.66,		0.63,		1,		0,		1,		0
0.31,		0.32,		0.32,		1,		1,		0,		1
0.28,		0.36,		0.31,		1,		1,		0,		1
-0.03,		0.08,		0.05,		1,		0,		1,		0

0.62,		0.22,		0.52,		0,		1,		0,		1
-0.61,		-0.25,		0.51,		0,		0,		1,		1
-0.09,		-0.21,		0.14,		0,		1,		0,		1
0.39,		-0.3,		0.36,		1,		0,		1,		0
0.22,		0.19,		0.21,		1,		0,		0,		1
-0.17,		0.4,		0.28,		1,		1,		0,		0
0.36,		-0.02,		0.29,		1,		0,		1,		0
-0.05,		-0.04,		0.05,		0,		1,		1,		1

0.14,		0.34,		0.23,		0,		1,		0,		1
0.27,		-0.57,		0.4,		1,		0,		1,		0
0.09,		-0.29,		0.19,		1,		0,		1,		0
-0.28,		-0.3,		0.28,		0,		0,		1,		1
-0.58,		0.31,		0.5,		1,		1,		0,		0
0.05,		-0,			0.04,		1,		0,		1,		1
-0.56,		0.18,		0.46,		1,		0,		1,		0

0.5,		0.07,		0.4,		1,		1,		0,		0
0.16,		-0.35,		0.25,		1,		0,		1,		0
0.72,		0.16,		0.59,		0,		1,		0,		1
-0,			0.16,		0.1,		1,		1,		1,		0

-0.8,		0.19,		0.65,		1,		0,		1,		0
-0.13,		-0.17,		0.15,		0,		1,		0,		1
-0.05,		0.28,		0.17,		1,		1,		1,		0
0.54,		-0.04,		0.43,		0,		0,		1,		1
0.05,		-0,			0.04,		1,		0,		1,		1

-0.1,		0.05,		0.09,		1,		1,		0,		0
-0.1,		0.05,		0.09,		1,		0,		1,		0
0.16,		0.55,		0.35,		0,		1,		0,		1
-0.04,		-0.14,		0.09,		0,		1,		1,		1

0.4,		0.14,		0.33,		1,		0,		0,		1
0.39,		0.29,		0.36,		1,		0,		0,		1
-0.31,		0.52,		0.4,		1,		0,		1,		0
-0.36,		-0.24,		0.32,		0,		0,		1,		1
0.05,		-0.06,		0.05,		0,		0,		1,		1

0.61,		0.54,		0.59,		0,		1,		0,		1
0.04,		0.11,		0.07,		1,		0,		0,		1
-0.6,		-0.02,		0.48,		0,		1,		0,		1
0.32,		-0.69,		0.48,		1,		0,		1,		0
0.7,		0.01,		0.56,		0,		1,		0,		1
0.29,		-0.06,		0.24,		1,		0,		1,		1
-0.52,		0.31,		0.46,		1,		0,		1,		0
-0.05,		-0.01,		0.04,		0,		1,		0,		1
0.16,		0.85,		0.52,		0,		1,		0,		1

-0.03,		0.05,		0.04,		0,		1,		1,		0
-0.81,		0.24,		0.66,		1,		0,		1,		0
0.12,		-0.83,		0.51,		1,		0,		1,		0
-0.27,		0.63,		0.44,		1,		0,		1,		0
0.6,		0.45,		0.55,		1,		1,		0,		1

-0.71,		-0.41,		0.62,		0,		1,		0,		1
-0.21,		-0.49,		0.34,		0,		1,		0,		1
-0.1,		-0.37,		0.23,		0,		0,		1,		1
-0.17,		0.37,		0.26,		1,		1,		1,		0
