r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,2, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5,1, , 
a, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,19, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,20, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,21, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,22, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,23, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,24, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,25, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
r10, , , , , , , , , , , , , , , , ,r10, , ,s12, , ,s15,s16, , ,s11, , , , ,s18,s14,s17,s13, , , , ,26, , ,4, , ,7,8, , ,3, , ,10,6,9, ,5, , , 
 , ,s32, , , , ,s31, , , , , , , , , , , ,s37, , , , , , ,s38, , , ,s36, , , , , , , , ,28, ,34, , , ,29, , ,30, , , ,33, , , ,27, , , ,35
 , , , , , , , , , , , , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , , , , , , , , , ,39, , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , ,s41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,s32, , , , ,s31, , , , , , , , , , , ,s37, , , , , , ,s38, , , ,s36, , , , , ,s43, , ,42, ,34, , , ,29, , ,30, , , ,33, , , , , , , ,35
 , , , , , , , , , , , , , , , , , , , , , , , , , ,s38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44
 , , , , , , , , , , , , , , , , , , , , , , , , , ,s38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45
 , , , , , , , , , , , , , , , , , , , , , , , , , ,s38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46
 , , , , , , , , , , , , , , , , , , ,s37, , , , , , ,s38, , , ,s36, , , , , ,s48, , , , ,34, , , , , , , , , , ,47, , , , , , , ,35
r2, , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r3, , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r4, , , , , , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r5, , , , , , , , , , , , , , , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r6, , , , , , , , , , , , , , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r7, , , , , , , , , , , , , , , , ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r8, , , , , , , , , , , , , , , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r9, , , , , , , , , , , , , , , , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s49, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s51, ,s52, , ,s53,s55,s57,s58,s54,s56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50, , , , , , , , , 
 ,s61, ,r23,s59,r23, ,r23,r23,s60,r23,r23,r23,r23,r23,r23, ,r23, , , ,r23, , , , , , ,r23, , , , , , , , ,r23,r23, , , , , , , , , , , , , , , , , , , , , , 
 ,r27, ,r27,r27,r27, ,r27,r27,r27,r27,r27,r27,r27,r27,r27, ,r27, , , ,r27, , , , , , ,r27, , , , , , , , ,r27,r27, , , , , , , , , , , , , , , , , , , , , , 
 , ,s32, , , , , , , , , , , , , , , , ,s37, , , , , , ,s38, , , ,s36, , , , , , , , , , ,34, , , , , , ,62, , , ,33, , , , , , , ,35
 , ,s32, , , , ,s31, , , , , , , , , , , ,s37, , , , , , ,s38, , , ,s36, , , , , , , , ,63, ,34, , , ,29, , ,30, , , ,33, , , , , , , ,35
 ,r30, ,r30,r30,r30, ,r30,r30,r30,r30,r30,r30,r30,r30,r30, ,r30, , , ,r30, , , , , , ,r30, , , , , , , , ,r30,r30, , , , , , , , , , , , , , , , , , , , , , 
 ,r31, ,r31,r31,r31, ,r31,r31,r31,r31,r31,r31,r31,r31,r31, ,r31, , , ,r31, , , , , , ,r31, , , , , , , , ,r31,r31, , , , , , , , , , , , , , , , , , , , , , 
 ,r32, ,r32,r32,r32, ,r32,r32,r32,r32,r32,r32,r32,r32,r32, ,r32, , , ,r32, , , , , , ,r32, , , , , , , , ,r32,r32, , , , , , , , , , , , , , , , , , , , , , 
 ,r33, ,r33,r33,r33, ,r33,r33,r33,r33,r33,r33,r33,r33,r33, ,r33, , , ,r33, , , , , , ,r33, , , , , , , , ,r33,r33, , , , , , , , , , , , , , , , , , , , , , 
 ,r34, ,r34,r34,r34, ,r34,r34,r34,r34,r34,r34,r34,r34,r34, ,r34, , , ,r34, , , , , , ,r34, , , , , , , , ,r34,r34, , , , , , , , , , , , , , , , , , , , , , 
 ,r36, ,r36,r36,r36, ,r36,r36,r36,r36,r36,r36,r36,r36,r36,s64,r36, , , ,r36, , , ,r36, , ,r36, , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , , , , , 
 , , , , , ,s66, , , , , , , , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , ,65, , , , , , , , , , , , , , , , , , 
 , , , , , ,r14, , , , , , , , , ,s67, ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s68, , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s51, ,s52, , , , , , , , , , , , , , , , , , , , ,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , ,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,s73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,s75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , ,s76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,s32, , , , ,s31, , , , , , , , , , , ,s37, , , , , , ,s38, , , ,s36, , , , , , , , ,77, ,34, , , ,29, , ,30, , , ,33, , , , , , , ,35
